IATA,Name,City,Country_y,Alpha-2 code
OCA,Ocean Reef Club Airport,Key Largo,United States of America (the),US
CYT,Yakataga Airport,Yakataga,United States of America (the),US
FWL,Farewell Airport,Farewell,United States of America (the),US
CSE,Crested Butte Airpark,Crested Butte,United States of America (the),US
CUS,Columbus Municipal Airport,Columbus,United States of America (the),US
JCY,Lbj Ranch Airport,Johnson City,United States of America (the),US
ICY,Icy Bay Airport,Icy Bay,United States of America (the),US
HGZ,Hog River Airport,Hogatza,United States of America (the),US
GWV,Fokker Field,Bush,United States of America (the),US
BZT,Eagle Air Park,Brazoria,United States of America (the),US
BYW,Blakely Island Airport,Blakely Island,United States of America (the),US
DRF,Drift River Airport,Kenai,United States of America (the),US
BDF,Rinkenberger Airport,Bradford,United States of America (the),US
CTO,Calverton Executive Airpark,Calverton,United States of America (the),US
RFK,Rollang Field,Rolling Fork,United States of America (the),US
BCS,Southern Seaplane Airport,Belle Chasse,United States of America (the),US
CWS,Center Island Airport,Center Island,United States of America (the),US
DUF,Pine Island Airport,Corolla,United States of America (the),US
SSW,Stuart Island Airpark,Stuart Island,United States of America (the),US
FOB,Fort Bragg Airport,Fort Bragg,United States of America (the),US
MHN,Hooker County Airport,Mullen,United States of America (the),US
AXB,Maxson Airfield,Alexandria Bay,United States of America (the),US
REE,Reese Airpark,Lubbock,United States of America (the),US
WDN,Waldron Airstrip,East Sound,United States of America (the),US
AFT,Afutara Aerodrome,Bila,Solomon Islands,SB
RNA,Ulawa Airport,Arona,Solomon Islands,SB
ATD,Uru Harbour Airport,Atoifi,Solomon Islands,SB
VEV,Barakoma Airport,Barakoma,Solomon Islands,SB
BPF,Batuna Aerodrome,Batuna Mission Station,Solomon Islands,SB
GEF,Geva Airport,Liangia,Solomon Islands,SB
AKS,Auki Airport,Auki,Solomon Islands,SB
BNY,Bellona/Anua Airport,Anua,Solomon Islands,SB
BAS,Ballalae Airport,Ballalae,Solomon Islands,SB
FRE,Fera/Maringe Airport,Fera Island,Solomon Islands,SB
HIR,Honiara International Airport,Honiara,Solomon Islands,SB
MBU,Babanakira Airport,Mbambanakira,Solomon Islands,SB
IRA,Ngorangora Airport,Kirakira,Solomon Islands,SB
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,SB
GZO,Nusatupe Airport,Gizo,Solomon Islands,SB
MNY,Mono Airport,Stirling Island,Solomon Islands,SB
PRS,Parasi Airport,Parasi,Solomon Islands,SB
RNL,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,SB
EGM,Sege Airport,Sege,Solomon Islands,SB
NNB,Santa Ana Airport,Santa Ana Island,Solomon Islands,SB
RUS,Marau Airport,Marau,Solomon Islands,SB
VAO,Suavanao Airport,Suavanao,Solomon Islands,SB
XYA,Yandina Airport,Yandina,Solomon Islands,SB
KGE,Kagau Island Airport,Kagau Island,Solomon Islands,SB
GTA,Gatokae Airport,Gatokae,Solomon Islands,SB
RIN,Ringi Cove Airport,Ringi Cove,Solomon Islands,SB
RBV,Ramata Airport,Ramata,Solomon Islands,SB
CEX,Chena Hot Springs Airport,Chena Hot Springs,United States of America (the),US
SOL,Solomon State Field,Solomon,United States of America (the),US
HED,Herendeen Bay Airport,Herendeen Bay,United States of America (the),US
TWE,Taylor Airport,Taylor,United States of America (the),US
LNI,Lonely Air Station,Lonely,United States of America (the),US
CDL,Candle 2 Airport,Candle,United States of America (the),US
BSW,Boswell Bay Airport,Boswell Bay,United States of America (the),US
INU,Nauru International Airport,Yaren District,Nauru,NR
AFR,Afore Airstrip,Afore,Papua New Guinea,PG
ATP,Aitape Airport,Aitape,Papua New Guinea,PG
AMU,Amanab Airport,Amanab,Papua New Guinea,PG
ADC,Andakombe Airport,Andekombe,Papua New Guinea,PG
AIE,Aiome Airport,Aiome,Papua New Guinea,PG
AUJ,Ambunti Airport,Ambunti,Papua New Guinea,PG
AWB,Awaba Airport,Awaba,Papua New Guinea,PG
AYU,Aiyura Airport,Aiyura Valley,Papua New Guinea,PG
VMU,Baimuru Airport,Baimuru,Papua New Guinea,PG
BUA,Buka Airport,Buka Island,Papua New Guinea,PG
BAA,Bialla Airport,Bialla,Papua New Guinea,PG
OPU,Balimo Airport,Balimo,Papua New Guinea,PG
BUL,Bulolo Airport,Bulolo,Papua New Guinea,PG
CGC,Cape Gloucester Airport,Cape Gloucester,Papua New Guinea,PG
CMU,Chimbu Airport,Kundiawa,Papua New Guinea,PG
DAO,Dahamo Airstrip,Dabo,Papua New Guinea,PG
DBP,Debepare Airport,Debepare,Papua New Guinea,PG
DER,Derim Airport,Derim,Papua New Guinea,PG
DAU,Daru Airport,Daru,Papua New Guinea,PG
XYR,Edwaki Airport,Yellow River Mission,Papua New Guinea,PG
FNE,Fane Airport,Fane Mission,Papua New Guinea,PG
FIN,Finschhafen Airport,Buki,Papua New Guinea,PG
FAQ,Frieda River Airport,Frieda River,Papua New Guinea,PG
GKA,Goroka Airport,Goronka,Papua New Guinea,PG
GRL,Garasa Airport,Au,Papua New Guinea,PG
GAR,Garaina Airport,Garaina,Papua New Guinea,PG
GUR,Gurney Airport,Gurney,Papua New Guinea,PG
GAP,Gusap Airport,Gusap,Papua New Guinea,PG
PNP,Girua Airport,Popondetta,Papua New Guinea,PG
GMI,Gasmata Island Airport,Gasmata Island,Papua New Guinea,PG
GVI,Green River Airport,Green River,Papua New Guinea,PG
HKN,Kimbe Airport,Hoskins,Papua New Guinea,PG
KIE,Aropa Airport,Kieta,Papua New Guinea,PG
LSA,Losuia Airport,Losuia,Papua New Guinea,PG
KDR,Kandrian Airport,Kandrian,Papua New Guinea,PG
UNG,Kiunga Airport,Kiunga,Papua New Guinea,PG
KRI,Kikori Airport,Kikori,Papua New Guinea,PG
KMA,Kerema Airport,Kerema,Papua New Guinea,PG
KKD,Kokoda Airport,Kokoda,Papua New Guinea,PG
KZF,Kaintiba Airport,Kaintiba,Papua New Guinea,PG
