IATA,Name,City,Official Country Name
OCA,Ocean Reef Club Airport,Key Largo,United States of America
CYT,Yakataga Airport,Yakataga,United States of America
FWL,Farewell Airport,Farewell,United States of America
CSE,Crested Butte Airpark,Crested Butte,United States of America
CUS,Columbus Municipal Airport,Columbus,United States of America
JCY,Lbj Ranch Airport,Johnson City,United States of America
ICY,Icy Bay Airport,Icy Bay,United States of America
HGZ,Hog River Airport,Hogatza,United States of America
GWV,Fokker Field,Bush,United States of America
BZT,Eagle Air Park,Brazoria,United States of America
BYW,Blakely Island Airport,Blakely Island,United States of America
DRF,Drift River Airport,Kenai,United States of America
BDF,Rinkenberger Airport,Bradford,United States of America
CTO,Calverton Executive Airpark,Calverton,United States of America
RFK,Rollang Field,Rolling Fork,United States of America
BCS,Southern Seaplane Airport,Belle Chasse,United States of America
CWS,Center Island Airport,Center Island,United States of America
DUF,Pine Island Airport,Corolla,United States of America
SSW,Stuart Island Airpark,Stuart Island,United States of America
FOB,Fort Bragg Airport,Fort Bragg,United States of America
MHN,Hooker County Airport,Mullen,United States of America
AXB,Maxson Airfield,Alexandria Bay,United States of America
REE,Reese Airpark,Lubbock,United States of America
WDN,Waldron Airstrip,East Sound,United States of America
AFT,Afutara Aerodrome,Bila,Solomon Islands
RNA,Ulawa Airport,Arona,Solomon Islands
ATD,Uru Harbour Airport,Atoifi,Solomon Islands
VEV,Barakoma Airport,Barakoma,Solomon Islands
BPF,Batuna Aerodrome,Batuna Mission Station,Solomon Islands
GEF,Geva Airport,Liangia,Solomon Islands
AKS,Auki Airport,Auki,Solomon Islands
BNY,Bellona/Anua Airport,Anua,Solomon Islands
BAS,Ballalae Airport,Ballalae,Solomon Islands
FRE,Fera/Maringe Airport,Fera Island,Solomon Islands
HIR,Honiara International Airport,Honiara,Solomon Islands
MBU,Babanakira Airport,Mbambanakira,Solomon Islands
IRA,Ngorangora Airport,Kirakira,Solomon Islands
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands
GZO,Nusatupe Airport,Gizo,Solomon Islands
MNY,Mono Airport,Stirling Island,Solomon Islands
PRS,Parasi Airport,Parasi,Solomon Islands
RNL,Rennell/Tingoa Airport,Rennell Island,Solomon Islands
EGM,Sege Airport,Sege,Solomon Islands
NNB,Santa Ana Airport,Santa Ana Island,Solomon Islands
RUS,Marau Airport,Marau,Solomon Islands
VAO,Suavanao Airport,Suavanao,Solomon Islands
XYA,Yandina Airport,Yandina,Solomon Islands
KGE,Kagau Island Airport,Kagau Island,Solomon Islands
GTA,Gatokae Airport,Gatokae,Solomon Islands
RIN,Ringi Cove Airport,Ringi Cove,Solomon Islands
RBV,Ramata Airport,Ramata,Solomon Islands
CEX,Chena Hot Springs Airport,Chena Hot Springs,United States of America
SOL,Solomon State Field,Solomon,United States of America
HED,Herendeen Bay Airport,Herendeen Bay,United States of America
TWE,Taylor Airport,Taylor,United States of America
LNI,Lonely Air Station,Lonely,United States of America
CDL,Candle 2 Airport,Candle,United States of America
BSW,Boswell Bay Airport,Boswell Bay,United States of America
INU,Nauru International Airport,Yaren District,Republic of Nauru
AFR,Afore Airstrip,Afore,Independent State of Papua New Guinea
ATP,Aitape Airport,Aitape,Independent State of Papua New Guinea
AMU,Amanab Airport,Amanab,Independent State of Papua New Guinea
ADC,Andakombe Airport,Andekombe,Independent State of Papua New Guinea
AIE,Aiome Airport,Aiome,Independent State of Papua New Guinea
AUJ,Ambunti Airport,Ambunti,Independent State of Papua New Guinea
AWB,Awaba Airport,Awaba,Independent State of Papua New Guinea
AYU,Aiyura Airport,Aiyura Valley,Independent State of Papua New Guinea
VMU,Baimuru Airport,Baimuru,Independent State of Papua New Guinea
BUA,Buka Airport,Buka Island,Independent State of Papua New Guinea
BAA,Bialla Airport,Bialla,Independent State of Papua New Guinea
OPU,Balimo Airport,Balimo,Independent State of Papua New Guinea
BUL,Bulolo Airport,Bulolo,Independent State of Papua New Guinea
CGC,Cape Gloucester Airport,Cape Gloucester,Independent State of Papua New Guinea
CMU,Chimbu Airport,Kundiawa,Independent State of Papua New Guinea
DAO,Dahamo Airstrip,Dabo,Independent State of Papua New Guinea
DBP,Debepare Airport,Debepare,Independent State of Papua New Guinea
DER,Derim Airport,Derim,Independent State of Papua New Guinea
DAU,Daru Airport,Daru,Independent State of Papua New Guinea
XYR,Edwaki Airport,Yellow River Mission,Independent State of Papua New Guinea
FNE,Fane Airport,Fane Mission,Independent State of Papua New Guinea
FIN,Finschhafen Airport,Buki,Independent State of Papua New Guinea
FAQ,Frieda River Airport,Frieda River,Independent State of Papua New Guinea
GKA,Goroka Airport,Goronka,Independent State of Papua New Guinea
GRL,Garasa Airport,Au,Independent State of Papua New Guinea
GAR,Garaina Airport,Garaina,Independent State of Papua New Guinea
GUR,Gurney Airport,Gurney,Independent State of Papua New Guinea
GAP,Gusap Airport,Gusap,Independent State of Papua New Guinea
PNP,Girua Airport,Popondetta,Independent State of Papua New Guinea
GMI,Gasmata Island Airport,Gasmata Island,Independent State of Papua New Guinea
GVI,Green River Airport,Green River,Independent State of Papua New Guinea
HKN,Kimbe Airport,Hoskins,Independent State of Papua New Guinea
KIE,Aropa Airport,Kieta,Independent State of Papua New Guinea
LSA,Losuia Airport,Losuia,Independent State of Papua New Guinea
KDR,Kandrian Airport,Kandrian,Independent State of Papua New Guinea
UNG,Kiunga Airport,Kiunga,Independent State of Papua New Guinea
KRI,Kikori Airport,Kikori,Independent State of Papua New Guinea
KMA,Kerema Airport,Kerema,Independent State of Papua New Guinea
KKD,Kokoda Airport,Kokoda,Independent State of Papua New Guinea
KZF,Kaintiba Airport,Kaintiba,Independent State of Papua New Guinea
KUQ,Kuri Airport,Kuri,Independent State of Papua New Guinea
KVG,Kavieng Airport,Kavieng,Independent State of Papua New Guinea
KWO,Kawito Airport,Kawito,Independent State of Papua New Guinea
LNV,Londolovit Airport,Londolovit,Independent State of Papua New Guinea
LMY,Lake Murray Airport,Lake Murray,Independent State of Papua New Guinea
LWI,Lowai Airstrip,Lowai,Independent State of Papua New Guinea
LMI,Lumi Airport,Lumi,Independent State of Papua New Guinea
MYX,Menyamya Airport,Menyamya,Independent State of Papua New Guinea
MAG,Madang Airport,Madang,Independent State of Papua New Guinea
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Independent State of Papua New Guinea
MXK,Mindik Airport,Mindik,Independent State of Papua New Guinea
GUV,Mougulu Airport,Mougulu,Independent State of Papua New Guinea
MXH,Moro Airport,Moro,Independent State of Papua New Guinea
MIS,Misima Island Airport,Misima Island,Independent State of Papua New Guinea
GBF,Negarbo(Negabo) Airport,Negarbo,Independent State of Papua New Guinea
MFO,Manguna Airport,Manguna,Independent State of Papua New Guinea
UKU,Nuku Airport,Nuku,Independent State of Papua New Guinea
LAE,Lae Nadzab Airport,Nadzab,Independent State of Papua New Guinea
OSE,Omora Airport,Omora,Independent State of Papua New Guinea
PDI,Pindiu Airport,Pindiu,Independent State of Papua New Guinea
POM,Port Moresby Jacksons International Airport,Port Moresby,Independent State of Papua New Guinea
KMR,Karimui Airport,Karimui,Independent State of Papua New Guinea
NIS,Simberi Airport,Simberi Island,Independent State of Papua New Guinea
SIL,Sila Airport,Sila Mission,Independent State of Papua New Guinea
SIM,Simbai Airport,Simbai,Independent State of Papua New Guinea
TDS,Sasereme Airport,Sasereme,Independent State of Papua New Guinea
SKC,Suki Airport,Suki,Independent State of Papua New Guinea
TIZ,Tari Airport,Tari,Independent State of Papua New Guinea
TBG,Tabubil Airport,Tabubil,Independent State of Papua New Guinea
TFM,Telefomin Airport,Telefomin,Independent State of Papua New Guinea
TPI,Tapini Airport,Tapini,Independent State of Papua New Guinea
TAJ,Tadji Airport,Aitape,Independent State of Papua New Guinea
RAB,Tokua Airport,Tokua,Independent State of Papua New Guinea
TKW,Tekin Airport,Tekin,Independent State of Papua New Guinea
TFI,Tufi Airport,Tufi,Independent State of Papua New Guinea
WAO,Wabo Airport,Wabo,Independent State of Papua New Guinea
WWK,Wewak International Airport,Wewak,Independent State of Papua New Guinea
WOA,Wonenara Airport,Wonenara,Independent State of Papua New Guinea
WSU,Wasu Airport,Wasu,Independent State of Papua New Guinea
WTP,Woitape Airport,Fatima Mission,Independent State of Papua New Guinea
WUG,Wau Airport,Wau,Independent State of Papua New Guinea
JEG,Aasiaat Airport,Aasiaat,Greenland
UAK,Narsarsuaq Airport,Narsarsuaq,Greenland
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland
GOH,Nuuk Airport,Nuuk,Greenland
JAV,Ilulissat Airport,Ilulissat,Greenland
KUS,Kulusuk Airport,Kulusuk,Greenland
JSU,Maniitsoq Airport,Maniitsoq,Greenland
JFR,Paamiut Airport,Paamiut,Greenland
NAQ,Qaanaaq Airport,Qaanaaq,Greenland
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Greenland
JHS,Sisimiut Airport,Sisimiut,Greenland
THU,Thule Air Base,Thule,Greenland
JUV,Upernavik Airport,Upernavik,Greenland
JQA,Qaarsut Airport,Uummannaq,Greenland
AEY,Akureyri Airport,Akureyri,Republic of Iceland
BIU,Bíldudalur Airport,Bíldudalur,Republic of Iceland
BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,Republic of Iceland
BJD,Bakkafjordur Airport,Bakkafjordur,Republic of Iceland
BLO,Hjaltabakki Airport,Blönduós,Republic of Iceland
BXV,Breiðdalsvík Airport,Breiðdalsvík,Republic of Iceland
DJU,Djúpivogur Airport,Djúpivogur,Republic of Iceland
EGS,Egilsstaðir Airport,Egilsstaðir,Republic of Iceland
FAG,Fagurhólsmýri Airport,Fagurhólsmýri,Republic of Iceland
